station,year,ridership
TimesSq-42St,2010,182170
TimesSq-42St,2011,189426
TimesSq-42St,2012,195464
TimesSq-42St,2013,197696
TimesSq-42St,2014,204908
TimesSq-42St,2015,206247
GrandCentral-42St,2010,144350
GrandCentral-42St,2011,147644
GrandCentral-42St,2012,150266
GrandCentral-42St,2013,153861
GrandCentral-42St,2014,157899
GrandCentral-42St,2015,160294
34St-HeraldSq,2010,120764
34St-HeraldSq,2011,121081
34St-HeraldSq,2012,121120
34St-HeraldSq,2013,122517
34St-HeraldSq,2014,125355
34St-HeraldSq,2015,126776
